State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration
"Agriculture, forestry and fishing",0,503,8912,443,8965,10487,4476,2721,598,8710,4014,497,732179,0,0,0,0,0,0,0,0,0,0,0
Mining,278,0,1297,262,3969,1163,1214,1264,73,3884,578,49,0,157361,0,0,0,0,0,0,0,0,0,0
Manufacturing,8946,2443,0,1264,25246,25386,7512,6659,688,24203,8100,450,0,0,628217,0,0,0,0,0,0,0,0,0
"Electricity, gas, water and waste management",355,437,959,0,3540,1155,1057,981,82,3061,983,116,0,0,0,56116,0,0,0,0,0,0,0,0
Construction,7856,5875,24296,4325,0,16633,12506,7843,3907,53898,11251,1282,0,0,0,0,1472904,0,0,0,0,0,0,0
"Wholesale and retail trade, accommodation and food services",10210,2492,25418,1476,19713,0,18055,14574,2611,44587,21739,1379,0,0,0,0,0,1337178,0,0,0,0,0,0
"Transport, communications and information services",4290,1890,7750,1420,13741,17209,0,9773,858,26803,9846,489,0,0,0,0,0,0,555029,0,0,0,0,0
Financial intermediation,2570,1420,6387,754,6982,12897,7847,0,1449,14693,11697,399,0,0,0,0,0,0,0,217075,0,0,0,0
Real estate and housing services,444,194,726,102,3541,2757,836,1436,0,2730,2516,68,0,0,0,0,0,0,0,0,48839,0,0,0
Business services,9164,7207,31556,4733,53058,50334,33227,19916,2945,0,40743,1719,0,0,0,0,0,0,0,0,0,1125459,0,0
Personal services,4162,1069,10571,1452,12445,22875,11221,12722,2075,38500,0,4206,0,0,0,0,0,0,0,0,0,0,779724,0
Public administration,488,78,463,153,1362,1256,503,454,56,1546,5213,0,0,0,0,0,0,0,0,0,0,0,0,74573
"Unemployment from Agriculture, forestry and fishing",514193,1335,26949,1579,38919,39279,13128,2360,1142,27264,12018,2345,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Mining,1301,124433,2373,474,8379,2954,2611,565,135,7060,1297,170,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Manufacturing,27141,2090,319670,2216,61839,59721,19314,3908,1603,53492,20106,1671,0,0,0,0,0,0,0,0,0,0,0,0
"Unemployment from Electricity, gas, water and waste management",1313,357,1878,27776,7236,2742,2321,448,130,5077,1560,185,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Construction,36123,7539,58310,7746,1017593,55012,34927,5251,5395,107401,30032,4299,0,0,0,0,0,0,0,0,0,0,0,0
"Unemployment from Wholesale and retail trade, accommodation and food services",36941,2698,57582,3357,59496,797798,42642,12966,4722,110425,57903,4437,0,0,0,0,0,0,0,0,0,0,0,0
"Unemployment from Transport, communications and information services",12008,2067,16743,2382,32748,38688,317071,6134,1490,49364,18950,1437,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Financial intermediation,2801,475,4185,428,6351,13239,6793,134629,1484,18160,9961,630,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Real estate and housing services,1024,121,1483,131,5343,4715,1424,1184,19553,4783,2942,188,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Business services,23902,5876,46788,5196,102399,96787,48103,16234,4466,594429,70207,4114,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Personal services,10745,1101,16855,1619,30289,47630,18292,7725,2775,68995,462084,6658,0,0,0,0,0,0,0,0,0,0,0,0
Unemployment from Public administration,1660,111,1123,165,3787,2986,1082,421,148,3416,6011,41914,0,0,0,0,0,0,0,0,0,0,0,0
